objectName,reset,riskCategory1,riskCategory2,ratingClassValue
Aegon Frey (Jinglebell),Year 299,3,Male,299
Aggar,Year 299,2,Male,299
Alebelly,Year 299,2,Male,299
Allard Seaworth,Year 299,2,Male,299
Amory Lorch,Year 299,2,Male,299
Anvil Ryn,Year 299,3,Male,299
Aron Santagar,Year 299,2,Male,299
Bannen,Year 299,3,Male,299
Barra,Year 299,2,Female,299
Becca the Baker,Year 299,3,Female,299
Benfred Tallhart,Year 299,2,Male,299
Benfrey Frey,Year 299,5,Male,299
Brown Bernarr,Year 299,3,Male,299
Bryan Fossoway,Year 299,2,Male,299
Bryce Caron,Year 299,2,Male,299
Burton Crakehall,Year 299,2,Male,299
Byam Flint,Year 299,3,Male,299
Catelyn Tully,Year 299,3,Female,299
Chayle,Year 299,2,Male,299
Chett,Year 299,3,Male,299
Chiswyck,Year 299,2,Male,299
Cleos Frey,Year 299,3,Male,299
Cley Cerwyn,Year 299,2,Male,299
Cortnay Penrose,Year 299,2,Male,299
Craster,Year 299,3,Male,299
Cressen,Year 299,1,Male,299
Dacey Mormont,Year 299,3,Female,299
Dalbridge,Year 299,2,Male,299
Dale Seaworth,Year 299,2,Male,299
Del,Year 299,3,Male,299
Delp,Year 299,3,Male,299
Dick Follard,Year 299,3,Male,299
Dobber,Year 299,2,Male,299
Donella Hornwood,Year 299,2,Female,299
Donnel Locke,Year 299,3,Male,299
Doreah,Year 299,2,Female,299
Dornish Dilly,Year 299,3,Male,299
Drennan,Year 299,2,Male,299
Dudley,Year 299,3,Male,299
Dykk Harlaw,Year 299,2,Male,299
Ebben,Year 299,2,Male,299
Eddard Stark,Year 299,1,Male,299
Emmon Cuy,Year 299,2,Male,299
Elwood,Year 299,3,Male,299
Endrew Tarth,Year 299,3,Male,299
Farlen,Year 299,2,Male,299
Fletcher Will,Year 299,3,Male,299
Garse Goodbrook,Year 299,3,Male,299
Garth of Oldtown,Year 299,3,Male,299
Gelmarr,Year 299,2,Male,299
Gerren,Year 299,2,Male,299
Gevin Harlaw,Year 299,2,Male,299
Grazdan,Year 299,3,Male,299
Grazdan mo Ullhor,Year 299,3,Male,299
Guncer Sunglass,Year 299,3,Male,299
Guyard Morrigen,Year 299,2,Male,299
Gynir,Year 299,2,Male,299
Hake,Year 299,3,Male,299
Harra,Year 299,2,Female,299
Harrag Sharp,Year 299,5,Male,299
Helman Tallhart,Year 299,3,Male,299
Hoster Tully,Year 299,3,Male,299
Hubard Rambton,Year 299,5,Male,299
Iggo,Year 299,3,Male,299
Imry Florent,Year 299,3,Male,299
Jacelyn Bywater,Year 299,2,Female,299
Jarl,Year 299,3,Male,299
Jeor Mormont,Year 299,3,Male,299
Jon Umber (Smalljon),Year 299,3,Male,299
Kenned,Year 299,2,Male,299
Koss,Year 299,2,Male,299
Kraznys mo Nakloz,Year 299,3,Male,299
Kromm,Year 299,2,Male,299
Kurz,Year 299,2,Male,299
Kyle (Banners),Year 299,3,Male,299
Lark,Year 299,3,Male,299
Leo Lefford,Year 299,2,Male,299
Leobald Tallhart,Year 299,2,Male,299
Lommy,Year 299,2,Male,299
Lorren,Year 299,2,Male,299
Lucan,Year 299,2,Male,299
Lucas Blackwood,Year 299,3,Male,299
Luwin,Year 299,2,Male,299
Lyman Darry,Year 299,3,Male,299
Maerie (Goodwife),Year 299,3,Female,299
Maerie (Whore),Year 299,3,Female,299
Mallador Locke,Year 299,5,Male,299
Mandon Moore,Year 299,2,Male,299
Maric Seaworth,Year 299,2,Male,299
Maslyn,Year 299,3,Male,299
Matthos Seaworth,Year 299,2,Male,299
Medger Cerwyn,Year 299,2,Male,299
Mero,Year 299,3,Male,299
Mikken,Year 299,2,Male,299
Mirri Maz Duur,Year 299,1,Female,299
Monford Velaryon,Year 299,3,Male,299
Mudge (miller),Year 299,3,Male,299
Myles,Year 299,2,Male,299
Nolla,Year 299,3,Female,299
Old Henly,Year 299,3,Male,299
Orell,Year 299,2,Male,299
Ottyn Wythers,Year 299,3,Male,299
Owen Norrey,Year 299,3,Male,299
Oznak zo Pahl,Year 299,3,Male,299
Pate (Lancewood),Year 299,3,Male,299
Porther,Year 299,2,Male,299
Poul Pemford,Year 299,2,Male,299
Poxy Tym,Year 299,2,Male,299
Praed,Year 299,2,Male,299
Prendahl na Ghezn,Year 299,3,Male,299
Preston Greenfield,Year 299,2,Male,299
Qhorin Halfhand,Year 299,2,Male,299
Quort,Year 299,3,Male,299
Qyle,Year 299,2,Male,299
Randa,Year 299,3,Female,299
Rast,Year 299,3,Male,299
Raynald Westerling,Year 299,3,Male,299
Red Rolfe,Year 299,2,Male,299
Reek,Year 299,2,Male,299
Renly Baratheon,Year 299,2,Male,299
Rickard Karstark,Year 299,3,Male,299
Robar Royce,Year 299,2,Male,299
Robb Stark,Year 299,3,Male,299
Robin Flint,Year 299,3,Male,299
Rodrik Cassel,Year 299,2,Male,299
Rolley,Year 299,3,Male,299
Rupert Brax,Year 299,2,Male,299
Sallor,Year 299,3,Male,299
Sawane Botley,Year 299,4,Male,299
Small Paul,Year 299,3,Male,299
Softfoot,Year 299,3,Male,299
Spotted Pate of Maidenpool,Year 299,3,Male,299
Squint,Year 299,2,Male,299
Stevron Frey,Year 299,2,Male,299
Stone Thumbs,Year 299,3,Male,299
Symon Silver Tongue,Year 299,3,Male,299
Thoren Smallwood,Year 299,3,Male,299
Tion Frey,Year 299,3,Female,299
Todric,Year 299,2,Male,299
Tothmure,Year 299,2,Male,299
Tymor,Year 299,2,Male,299
Tyrek Lannister,Year 299,2,Male,299
Tytos Frey,Year 299,3,Male,299
Ulf the Ill,Year 299,2,Male,299
Urreg,Year 299,2,Male,299
Utt,Year 299,3,Male,299
Watt,Year 299,3,Male,299
Weese,Year 299,2,Male,299
Wendel Manderly,Year 299,3,Male,299
Werlag,Year 299,2,Male,299
Willem Lannister,Year 299,3,Male,299
Woth,Year 299,2,Male,299
Wyl the Whittler,Year 299,3,Male,299
Ygritte,Year 299,3,Female,299
Yoren,Year 299,2,Male,299
Young Henly,Year 299,3,Male,299
